AWS Region,Private IP,EIP,Domain,EIP Allocation Id,EIP Association Id,Tagged,Attention
us-east-1,None,54.164.156.8,vpc,eipalloc-dcb5ceec,UNASSOCIATED,NO,*!
us-east-1,None,54.164.156.8,vpc,eipalloc-dcb5ceec,UNASSOCIATED,NO,*!
us-east-1,None,54.164.156.8,vpc,eipalloc-dcb5ceec,UNASSOCIATED,NO,*!
us-east-1,None,54.164.156.8,vpc,eipalloc-dcb5ceec,UNASSOCIATED,NO,*!
us-east-1,None,54.164.156.8,vpc,eipalloc-dcb5ceec,UNASSOCIATED,NO,*!
us-east-2,10.200.1.252,18.220.71.238,vpc,eipalloc-a043bf81,eipassoc-7a902086,NO,*
us-east-2,10.200.1.252,18.220.71.238,vpc,eipalloc-a043bf81,eipassoc-7a902086,NO,*
us-east-2,10.200.1.252,18.220.71.238,vpc,eipalloc-a043bf81,eipassoc-7a902086,NO,*
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
eu-west-1,10.103.100.145,54.72.55.37,vpc,eipalloc-f31ba3ce,eipassoc-af5cf262,yes,
